Placebo Top,,Placebo Mid,,Placebo Low,,Semag Top,,Semag Mid,,Semag Low,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
4.10796915167095,-1.1287128712871300,0,-1.33226762955019E-15,4.10796915167095,-1.2475247524752500,3.933161953727510,-2.2574257425742600,0,-1.33226762955019E-15,3.845758354755780,-2.3762376237623800
8.128534704370180,-1.7227722772277200,4.10796915167095,-1.1287128712871300,8.128534704370180,-1.8415841584158400,7.953727506426740,-3.980198019801980,3.933161953727510,-2.316831683168320,7.953727506426740,-4.217821782178220
12.061696658097700,-2.1386138613861400,8.128534704370180,-1.7821782178217800,12.14910025706940,-2.3762376237623800,11.886889460154200,-5.940594059405940,7.953727506426740,-4.099009900990100,11.974293059126000,-6.17821782178218
16.082262210796900,-2.3762376237623800,12.061696658097700,-2.198019801980200,16.082262210796900,-2.732673267326730,15.907455012853500,-7.722772277227720,11.886889460154200,-6.000000000000000,15.907455012853500,-8.019801980198020
20.10282776349610,-2.6732673267326700,16.082262210796900,-2.554455445544560,20.10282776349610,-3.0297029702970300,19.928020565552700,-9.564356435643570,15.907455012853500,-7.841584158415840,19.840616966581000,-9.861386138613860
28.05655526992290,-2.732673267326730,20.10282776349610,-2.851485148514850,28.05655526992290,-3.1485148514851500,27.881748071979400,-11.881188118811900,19.840616966581000,-9.742574257425740,27.881748071979400,-12.23762376237620
36.09768637532130,-2.9108910891089100,28.05655526992290,-2.9108910891089100,36.09768637532130,-3.326732673267330,35.92287917737790,-13.663366336633700,27.881748071979400,-12.059405940594100,35.92287917737790,-14.07920792079210
43.96401028277630,-3.089108910891090,36.09768637532130,-3.089108910891090,43.96401028277630,-3.623762376237630,43.70179948586120,-14.970297029703000,35.92287917737790,-13.841584158415800,43.70179948586120,-15.504950495049500
52.092544987146500,-3.089108910891090,43.96401028277630,-3.326732673267330,52.092544987146500,-3.623762376237630,51.91773778920310,-15.920792079207900,43.70179948586120,-15.267326732673300,51.91773778920310,-16.455445544554500
59.95886889460150,-2.970297029702970,52.092544987146500,-3.326732673267330,59.95886889460150,-3.5049504950495100,59.7840616966581,-16.33663366336630,51.91773778920310,-16.21782178217820,59.7840616966581,-16.871287128712900
68.08740359897170,-2.851485148514850,59.95886889460150,-3.20792079207921,68.08740359897170,-3.3861386138613900,67.91259640102830,-16.633663366336600,59.69665809768640,-16.574257425742600,67.91259640102830,-17.22772277227720
,,68.08740359897170,-3.089108910891090,,,,,67.82519280205660,-16.990099009901000,,
